X,Y,Z,Activity,,,
0.75,-0.638,0.021,0,,,
0.75,-0.638,0.021,0,,,
0.75,-0.639,0.022,0,,,
0.746,-0.645,0.019,0,,,
0.746,-0.645,0.019,0,,,
0.746,-0.645,0.019,0,,,
0.736,-0.635,0.021,0,,,
0.735,-0.635,0.021,0,,,
0.735,-0.636,0.021,0,,,
0.732,-0.637,0.028,0,,,
0.732,-0.637,0.028,0,,,
0.732,-0.637,0.028,0,,,
0.747,-0.647,0.016,0,,,
0.747,-0.647,0.016,0,,,
0.747,-0.647,0.016,0,,,
0.738,-0.653,0.018,0,,,
0.738,-0.653,0.018,0,,,
0.735,-0.65,0.019,0,,,
0.752,-0.644,0.019,0,,,
0.752,-0.644,0.019,0,,,
0.75,-0.641,0.019,0,,,
0.743,-0.638,0.021,0,,,
0.743,-0.638,0.021,0,,,
0.747,-0.64,0.02,0,,,
0.754,-0.648,0.012,0,,,
0.754,-0.648,0.012,0,,,
0.75,-0.645,0.015,0,,,
0.748,-0.637,0.014,0,,,
0.748,-0.637,0.014,0,,,
0.748,-0.637,0.014,0,,,
0.747,-0.641,0.02,0,,,
0.748,-0.643,0.024,0,,,
0.748,-0.643,0.024,0,,,
0.758,-0.691,0.073,0,,,
0.755,-0.717,0.055,0,,,
0.754,-0.726,0.05,0,,,
0.752,-0.675,0.02,0,,,
0.752,-0.675,0.02,0,,,
0.751,-0.682,0.031,0,,,
0.751,-0.686,0.061,0,,,
0.751,-0.686,0.061,0,,,
0.749,-0.693,0.06,0,,,
0.773,-0.719,0.077,0,,,
0.759,-0.714,0.099,0,,,
0.74,-0.71,0.119,0,,,
0.665,-0.71,0.092,0,,,
0.665,-0.71,0.092,0,,,
0.675,-0.694,0.083,0,,,
0.678,-0.638,0.099,0,,,
0.678,-0.638,0.099,0,,,
0.671,-0.642,0.089,0,,,
0.668,-0.662,0.107,0,,,
0.668,-0.662,0.107,0,,,
0.664,-0.675,0.105,0,,,
0.662,-0.599,0.081,0,,,
0.662,-0.599,0.081,0,,,
0.666,-0.572,0.093,0,,,
0.692,-0.494,0.147,0,,,
0.692,-0.494,0.147,0,,,
0.696,-0.501,0.158,0,,,
0.727,-0.628,0.188,0,,,
0.727,-0.628,0.188,0,,,
0.732,-0.667,0.179,0,,,
0.731,-0.684,0.171,0,,,
0.726,-0.688,0.169,0,,,
0.726,-0.688,0.169,0,,,
0.705,-0.747,0.102,0,,,
0.705,-0.747,0.102,0,,,
0.701,-0.74,0.093,0,,,
0.68,-0.654,0.077,0,,,
0.68,-0.649,0.078,0,,,
0.68,-0.649,0.078,0,,,
0.686,-0.637,0.076,0,,,
0.686,-0.637,0.076,0,,,
0.689,-0.633,0.078,0,,,
0.708,-0.629,0.097,0,,,
0.708,-0.629,0.097,0,,,
0.715,-0.641,0.098,0,,,
0.725,-0.686,0.092,0,,,
0.725,-0.686,0.092,0,,,
0.723,-0.696,0.087,0,,,
0.724,-0.733,0.056,0,,,
0.723,-0.737,0.051,0,,,
0.723,-0.737,0.051,0,,,
0.71,-0.734,0.024,0,,,
0.71,-0.734,0.024,0,,,
0.706,-0.73,0.021,0,,,
0.701,-0.709,0.01,0,,,
0.705,-0.705,0.009,0,,,
0.708,-0.701,0.011,0,,,
0.723,-0.682,0.031,0,,,
0.723,-0.682,0.031,0,,,
0.723,-0.682,0.031,0,,,
0.728,-0.666,0.043,0,,,
0.728,-0.666,0.043,0,,,
0.729,-0.664,0.043,0,,,
0.729,-0.654,0.038,0,,,
0.729,-0.654,0.038,0,,,
0.732,-0.656,0.027,0,,,
0.733,-0.657,0.027,0,,,
0.733,-0.659,0.026,0,,,
0.729,-0.662,0.031,0,,,
0.729,-0.662,0.031,0,,,
0.727,-0.664,0.031,0,,,
0.731,-0.666,0.038,0,,,
0.731,-0.666,0.038,0,,,
0.731,-0.663,0.04,0,,,
0.725,-0.657,0.035,0,,,
0.725,-0.657,0.035,0,,,
0.726,-0.656,0.034,0,,,
0.723,-0.652,0.034,0,,,
0.723,-0.652,0.034,0,,,
0.721,-0.653,0.034,0,,,
0.73,-0.661,0.035,0,,,
0.73,-0.661,0.035,0,,,
0.737,-0.669,0.036,0,,,
0.737,-0.669,0.036,0,,,
0.737,-0.669,0.036,0,,,
0.729,-0.661,0.026,0,,,
0.729,-0.661,0.026,0,,,
0.725,-0.658,0.026,0,,,
0.728,-0.647,0.028,0,,,
0.728,-0.646,0.028,0,,,
0.728,-0.646,0.028,0,,,
0.732,-0.651,0.03,0,,,
0.732,-0.651,0.03,0,,,
0.733,-0.652,0.03,0,,,
0.734,-0.659,0.03,0,,,
0.734,-0.66,0.03,0,,,
0.734,-0.66,0.03,0,,,
0.732,-0.661,0.029,0,,,
0.732,-0.661,0.029,0,,,
0.731,-0.661,0.028,0,,,
0.732,-0.657,0.028,0,,,
0.732,-0.657,0.028,0,,,
0.732,-0.657,0.028,0,,,
0.734,-0.657,0.029,0,,,
0.733,-0.655,0.029,0,,,
0.731,-0.654,0.03,0,,,
0.73,-0.648,0.028,0,,,
0.73,-0.648,0.028,0,,,
0.73,-0.648,0.028,0,,,
0.735,-0.656,0.034,0,,,
0.735,-0.656,0.034,0,,,
0.736,-0.657,0.04,0,,,
0.732,-0.681,0.032,0,,,
0.73,-0.681,0.03,0,,,
0.732,-0.677,0.028,0,,,
0.733,-0.64,0.03,0,,,
0.733,-0.64,0.03,0,,,
0.731,-0.633,0.03,0,,,
0.737,-0.643,0.049,0,,,
0.724,-0.66,0.036,0,,,
0.724,-0.66,0.036,0,,,
0.726,-0.657,0.038,0,,,
0.737,-0.646,0.043,0,,,
0.737,-0.646,0.043,0,,,
0.738,-0.645,0.044,0,,,
0.735,-0.648,0.037,0,,,
0.735,-0.648,0.037,0,,,
